date,price
2022-01-03,399.93
2022-01-04,383.2
2022-01-05,362.71
2022-01-06,354.9
2022-01-07,342.32
2022-01-10,352.71
2022-01-11,354.8
2022-01-12,368.74
2022-01-13,343.85
2022-01-14,349.87
2022-01-18,343.5
2022-01-19,331.88
2022-01-20,332.09
2022-01-21,314.63
2022-01-24,310.0
2022-01-25,306.13
2022-01-26,312.47
2022-01-27,276.37
2022-01-28,282.12
2022-01-31,312.24
2022-02-01,310.42
2022-02-02,301.89
2022-02-03,297.05
2022-02-04,307.77
2022-02-07,302.45
2022-02-08,307.33
2022-02-09,310.67
2022-02-10,301.52
2022-02-11,286.67
2022-02-14,291.92
2022-02-15,307.48
2022-02-16,307.8
2022-02-17,292.12
2022-02-18,285.66
2022-02-22,273.84
2022-02-23,254.68
2022-02-24,266.92
2022-02-25,269.96
2022-02-28,290.14
2022-03-01,288.12
2022-03-02,293.3
2022-03-03,279.76
2022-03-04,279.43
2022-03-07,268.19
2022-03-08,274.8
2022-03-09,286.32
2022-03-10,279.43
2022-03-11,265.12
2022-03-14,255.46
2022-03-15,267.3
2022-03-16,280.08
2022-03-17,290.53
2022-03-18,301.8
2022-03-21,307.05
2022-03-22,331.33
2022-03-23,333.04
2022-03-24,337.97
2022-03-25,336.88
2022-03-28,363.95
2022-03-29,366.52
2022-03-30,364.66
2022-03-31,359.2
2022-04-01,361.53
2022-04-04,381.82
2022-04-05,363.75
2022-04-06,348.59
2022-04-07,352.42
2022-04-08,341.83
2022-04-11,325.31
2022-04-12,328.98
2022-04-13,340.79
2022-04-14,328.33
2022-04-18,334.76
2022-04-19,342.72
2022-04-20,325.73
2022-04-21,336.26
2022-04-22,335.02
2022-04-25,332.67
2022-04-26,292.14
2022-04-27,293.84
2022-04-28,292.5
2022-04-29,290.25
2022-05-02,300.98
2022-05-03,303.08
2022-05-04,317.54
2022-05-05,291.09
2022-05-06,288.55
2022-05-09,262.37
2022-05-10,266.68
2022-05-11,244.67
2022-05-12,242.67
2022-05-13,256.53
2022-05-16,241.46
2022-05-17,253.87
2022-05-18,236.6
2022-05-19,236.47
2022-05-20,221.3
2022-05-23,224.97
2022-05-24,209.39
2022-05-25,219.6
2022-05-26,235.91
2022-05-27,253.21
2022-05-31,252.75
2022-06-01,246.79
2022-06-02,258.33
2022-06-03,234.52
2022-06-06,238.28
2022-06-07,238.89
2022-06-08,241.87
2022-06-09,239.71
2022-06-10,232.23
2022-06-13,215.74
2022-06-14,220.89
2022-06-15,233.0
2022-06-16,213.1
2022-06-17,216.76
2022-06-21,237.04
2022-06-22,236.09
2022-06-23,235.07
2022-06-24,245.71
2022-06-27,244.92
2022-06-28,232.66
2022-06-29,228.49
2022-06-30,224.47
2022-07-01,227.26
2022-07-05,233.07
2022-07-06,231.73
2022-07-07,244.54
2022-07-08,250.76
2022-07-11,234.34
2022-07-12,233.07
2022-07-13,237.04
2022-07-14,238.31
2022-07-15,240.07
2022-07-18,240.55
2022-07-19,245.53
2022-07-20,247.5
2022-07-21,271.71
2022-07-22,272.24
2022-07-25,268.43
2022-07-26,258.86
2022-07-27,274.82
2022-07-28,280.9
2022-07-29,297.15
2022-08-01,297.28
2022-08-02,300.59
2022-08-03,307.4
2022-08-04,308.63
2022-08-05,288.17
2022-08-08,290.42
2022-08-09,283.33
2022-08-10,294.36
2022-08-11,286.63
2022-08-12,300.03
2022-08-15,309.32
2022-08-16,306.56
2022-08-17,304.0
2022-08-18,302.87
2022-08-19,296.67
2022-08-22,289.91
2022-08-23,296.45
2022-08-24,297.1
2022-08-25,296.07
2022-08-26,288.09
2022-08-29,284.82
2022-08-30,277.7
2022-08-31,275.61
2022-09-01,277.16
2022-09-02,270.21
2022-09-06,274.42
2022-09-07,283.7
2022-09-08,289.26
2022-09-09,299.68
2022-09-12,304.42
2022-09-13,292.13
2022-09-14,302.61
2022-09-15,303.75
2022-09-16,303.35
2022-09-19,309.07
2022-09-20,308.73
2022-09-21,300.8
2022-09-22,288.59
2022-09-23,275.33
2022-09-26,276.01
2022-09-27,282.94
2022-09-28,287.81
2022-09-29,268.21
2022-09-30,265.25
2022-10-03,242.4
2022-10-04,249.44
2022-10-05,240.81
2022-10-06,238.13
2022-10-07,223.07
2022-10-10,222.96
2022-10-11,216.5
2022-10-12,217.24
2022-10-13,221.72
2022-10-14,204.99
2022-10-17,219.35
2022-10-18,220.19
2022-10-19,222.04
2022-10-20,207.28
2022-10-21,214.44
2022-10-24,211.25
2022-10-25,222.42
2022-10-26,224.64
2022-10-27,225.09
2022-10-28,228.52
2022-10-31,227.54
2022-11-01,227.82
2022-11-02,214.98
2022-11-03,215.31
2022-11-04,207.47
2022-11-07,197.08
2022-11-08,191.3
2022-11-09,177.59
2022-11-10,190.72
2022-11-11,195.97
2022-11-14,190.95
2022-11-15,194.42
2022-11-16,186.92
2022-11-17,183.17
2022-11-18,180.19
2022-11-21,167.87
2022-11-22,169.91
2022-11-23,183.2
2022-11-25,182.86
2022-11-28,182.92
2022-11-29,180.83
2022-11-30,194.7
2022-12-01,194.7
2022-12-02,194.86
2022-12-05,182.45
2022-12-06,179.82
2022-12-07,174.04
2022-12-08,173.44
2022-12-09,179.05
2022-12-12,167.82
2022-12-13,160.95
2022-12-14,156.8
2022-12-15,157.67
2022-12-16,150.23
2022-12-19,149.87
2022-12-20,137.8
2022-12-21,137.57
2022-12-22,125.35
2022-12-23,123.15
2022-12-27,109.1
2022-12-28,112.71
2022-12-29,121.82
2022-12-30,123.18
2023-01-03,108.1
2023-01-04,113.64
2023-01-05,110.34
2023-01-06,113.06
2023-01-09,119.77
2023-01-10,118.85
2023-01-11,123.22
2023-01-12,123.56
2023-01-13,122.4
2023-01-17,131.49
2023-01-18,128.78
2023-01-19,127.17
2023-01-20,133.42
2023-01-23,143.75
2023-01-24,143.89
2023-01-25,144.43
2023-01-26,160.27
2023-01-27,177.9
2023-01-30,166.66
2023-01-31,173.22
2023-02-01,181.41
2023-02-02,188.27
2023-02-03,189.98
2023-02-06,194.76
2023-02-07,196.81
2023-02-08,201.29
2023-02-09,207.32
2023-02-10,196.89
2023-02-13,194.64
2023-02-14,209.25
2023-02-15,214.24
2023-02-16,202.04
2023-02-17,208.31
2023-02-21,197.37
