date,price
2022-08-22,1622.51
2022-08-23,1662.77
2022-08-24,1657.06
2022-08-25,1696.46
2022-08-26,1507.78
2022-08-27,1491.4
2022-08-28,1430.55
2022-08-29,1553.04
2022-08-30,1523.84
2022-08-31,1553.68
2022-09-01,1586.18
2022-09-02,1577.22
2022-09-03,1556.87
2022-09-04,1577.64
2022-09-05,1617.18
2022-09-06,1561.75
2022-09-07,1629.91
2022-09-08,1635.35
2022-09-09,1719.09
2022-09-10,1776.2
2022-09-11,1761.8
2022-09-12,1713.77
2022-09-13,1580.79
2022-09-14,1634.76
2022-09-15,1471.69
2022-09-16,1432.45
2022-09-17,1469.74
2022-09-18,1335.33
2022-09-19,1377.54
2022-09-20,1324.39
2022-09-21,1252.61
2022-09-22,1327.68
2022-09-23,1328.26
2022-09-24,1317.99
2022-09-25,1294.22
2022-09-26,1335.32
2022-09-27,1330.13
2022-09-28,1337.41
2022-09-29,1335.65
2022-09-30,1327.98
2022-10-01,1311.64
2022-10-02,1276.09
2022-10-03,1323.44
2022-10-04,1362.13
2022-10-05,1352.84
2022-10-06,1351.71
2022-10-07,1332.52
2022-10-08,1315.5
2022-10-09,1322.6
2022-10-10,1291.34
2022-10-11,1279.58
2022-10-12,1294.91
2022-10-13,1288.12
2022-10-14,1297.42
2022-10-15,1274.87
2022-10-16,1306.3
2022-10-17,1331.71
2022-10-18,1310.45
2022-10-19,1285.74
2022-10-20,1283.2
2022-10-21,1299.95
2022-10-22,1314.3
2022-10-23,1363.45
2022-10-24,1345.0
2022-10-25,1461.67
2022-10-26,1566.57
2022-10-27,1514.37
2022-10-28,1555.48
2022-10-29,1619.7
2022-10-30,1590.78
2022-10-31,1572.71
2022-11-01,1579.7
2022-11-02,1519.71
2022-11-03,1531.54
2022-11-04,1645.09
2022-11-05,1627.97
2022-11-06,1572.23
2022-11-07,1568.59
2022-11-08,1332.84
2022-11-09,1100.17
2022-11-10,1299.46
2022-11-11,1287.22
2022-11-12,1255.27
2022-11-13,1221.82
2022-11-14,1241.6
2022-11-15,1251.74
2022-11-16,1215.6
2022-11-17,1200.81
2022-11-18,1212.3
2022-11-19,1218.43
2022-11-20,1142.47
2022-11-21,1108.35
2022-11-22,1135.17
2022-11-23,1183.2
2022-11-24,1203.98
2022-11-25,1198.93
2022-11-26,1205.9
2022-11-27,1195.13
2022-11-28,1170.09
2022-11-29,1216.9
2022-11-30,1295.69
2022-12-01,1276.27
2022-12-02,1294.3
2022-12-03,1243.33
2022-12-04,1280.26
2022-12-05,1259.68
2022-12-06,1271.65
2022-12-07,1232.44
2022-12-08,1281.12
2022-12-09,1264.28
2022-12-10,1266.38
2022-12-11,1263.87
2022-12-12,1274.62
2022-12-13,1320.55
2022-12-14,1309.33
2022-12-15,1266.35
2022-12-16,1168.26
2022-12-17,1188.15
2022-12-18,1184.72
2022-12-19,1167.61
2022-12-20,1217.7
2022-12-21,1213.6
2022-12-22,1218.18
2022-12-23,1220.16
2022-12-24,1221.15
2022-12-25,1218.96
2022-12-26,1226.97
2022-12-27,1212.79
2022-12-28,1189.99
2022-12-29,1201.6
2022-12-30,1199.23
2022-12-31,1196.77
2023-01-01,1200.96
2023-01-02,1214.66
2023-01-03,1214.78
2023-01-04,1256.53
2023-01-05,1250.44
2023-01-06,1269.38
2023-01-07,1264.27
2023-01-08,1287.36
2023-01-09,1321.54
2023-01-10,1336.59
2023-01-11,1387.93
2023-01-12,1417.94
2023-01-13,1451.61
2023-01-14,1550.71
2023-01-15,1552.48
2023-01-16,1576.83
2023-01-17,1567.85
