symbol_id,date,price
BLK,2022-01-03,911.73
BLK,2022-01-04,917.22
BLK,2022-01-05,891.77
BLK,2022-01-06,895.49
BLK,2022-01-07,892.27
BLK,2022-01-10,873.34
BLK,2022-01-11,888.19
BLK,2022-01-12,885.11
BLK,2022-01-13,867.58
BLK,2022-01-14,848.6
BLK,2022-01-18,832.0
BLK,2022-01-19,825.5
BLK,2022-01-20,826.55
BLK,2022-01-21,800.92
BLK,2022-01-24,786.82
BLK,2022-01-25,798.55
BLK,2022-01-26,795.47
BLK,2022-01-27,787.96
BLK,2022-01-28,808.14
BLK,2022-01-31,822.94
BLK,2022-02-01,825.95
BLK,2022-02-02,822.51
BLK,2022-02-03,805.77
BLK,2022-02-04,809.82
BLK,2022-02-07,816.92
BLK,2022-02-08,807.39
BLK,2022-02-09,813.0
BLK,2022-02-10,778.19
BLK,2022-02-11,772.49
BLK,2022-02-14,760.31
BLK,2022-02-15,781.19
BLK,2022-02-16,783.42
BLK,2022-02-17,762.5
BLK,2022-02-18,756.02
BLK,2022-02-22,745.48
BLK,2022-02-23,732.49
BLK,2022-02-24,731.79
BLK,2022-02-25,750.87
BLK,2022-02-28,743.89
BLK,2022-03-01,714.81
BLK,2022-03-02,738.04
BLK,2022-03-03,737.71
BLK,2022-03-04,696.59
BLK,2022-03-07,677.07
BLK,2022-03-08,662.87
BLK,2022-03-09,693.25
BLK,2022-03-10,697.2
BLK,2022-03-11,687.04
BLK,2022-03-14,697.53
BLK,2022-03-15,707.67
BLK,2022-03-16,731.11
BLK,2022-03-17,740.93
BLK,2022-03-18,738.59
BLK,2022-03-21,733.83
BLK,2022-03-22,746.87
BLK,2022-03-23,736.46
BLK,2022-03-24,738.28
BLK,2022-03-25,741.04
BLK,2022-03-28,749.88
BLK,2022-03-29,773.24
BLK,2022-03-30,777.36
BLK,2022-03-31,764.17
BLK,2022-04-01,769.76
BLK,2022-04-04,782.23
BLK,2022-04-05,764.43
BLK,2022-04-06,745.23
BLK,2022-04-07,748.89
BLK,2022-04-08,736.1
BLK,2022-04-11,728.38
BLK,2022-04-12,716.83
BLK,2022-04-13,715.74
BLK,2022-04-14,688.17
BLK,2022-04-18,680.0
BLK,2022-04-19,701.57
BLK,2022-04-20,699.0
BLK,2022-04-21,681.46
BLK,2022-04-22,662.94
BLK,2022-04-25,668.28
BLK,2022-04-26,647.05
BLK,2022-04-27,643.02
BLK,2022-04-28,650.97
BLK,2022-04-29,624.68
BLK,2022-05-02,624.8
BLK,2022-05-03,631.06
BLK,2022-05-04,665.23
BLK,2022-05-05,633.81
BLK,2022-05-06,628.62
BLK,2022-05-09,605.56
BLK,2022-05-10,610.23
BLK,2022-05-11,600.35
BLK,2022-05-12,600.4
BLK,2022-05-13,615.33
BLK,2022-05-16,598.6
BLK,2022-05-17,611.72
BLK,2022-05-18,591.86
BLK,2022-05-19,593.08
BLK,2022-05-20,600.44
BLK,2022-05-23,611.51
BLK,2022-05-24,618.35
BLK,2022-05-25,626.6
BLK,2022-05-26,652.44
BLK,2022-05-27,666.53
BLK,2022-05-31,669.08
BLK,2022-06-01,660.51
BLK,2022-06-02,686.49
BLK,2022-06-03,671.74
BLK,2022-06-06,675.34
BLK,2022-06-07,679.61
BLK,2022-06-08,662.41
BLK,2022-06-09,659.85
BLK,2022-06-10,617.67
BLK,2022-06-13,598.72
BLK,2022-06-14,591.23
BLK,2022-06-15,599.9
BLK,2022-06-16,585.77
BLK,2022-06-17,582.26
BLK,2022-06-21,614.54
BLK,2022-06-22,609.28
BLK,2022-06-23,624.71
BLK,2022-06-24,647.78
BLK,2022-06-27,636.92
BLK,2022-06-28,629.12
BLK,2022-06-29,617.96
BLK,2022-06-30,609.04
BLK,2022-07-01,616.7
BLK,2022-07-05,620.72
BLK,2022-07-06,614.74
BLK,2022-07-07,623.7
BLK,2022-07-08,619.56
BLK,2022-07-11,605.0
BLK,2022-07-12,603.29
BLK,2022-07-13,596.38
BLK,2022-07-14,588.63
BLK,2022-07-15,600.37
BLK,2022-07-18,597.53
BLK,2022-07-19,628.34
BLK,2022-07-20,634.73
BLK,2022-07-21,639.31
BLK,2022-07-22,633.64
BLK,2022-07-25,636.15
BLK,2022-07-26,622.94
BLK,2022-07-27,643.32
BLK,2022-07-28,659.98
BLK,2022-07-29,669.18
BLK,2022-08-01,671.39
BLK,2022-08-02,666.16
BLK,2022-08-03,690.54
BLK,2022-08-04,696.01
BLK,2022-08-05,695.93
BLK,2022-08-08,696.27
BLK,2022-08-09,696.51
BLK,2022-08-10,725.21
BLK,2022-08-11,728.65
